s,C,m,m
Time,"DOOR_TEMP","DOOR_VIS","LAYER_HEIGHT_DOOR"
 5.8518155E+001, 5.1843802E+001, 1.7356605E+001, 9.8548979E-001
 5.8854523E+001, 5.1865677E+001, 1.7351867E+001, 9.5811434E-001
 5.9123618E+001, 5.2194726E+001, 1.7155404E+001, 9.2892774E-001
 5.9459986E+001, 5.2627770E+001, 1.6909838E+001, 9.0207893E-001
 5.9714035E+001, 5.3022867E+001, 1.6687580E+001, 8.8270803E-001
 6.0018766E+001, 5.3390800E+001, 1.6488485E+001, 8.7420864E-001
 6.0315191E+001, 5.3749847E+001, 1.6303139E+001, 8.7883090E-001
 6.0633306E+001, 5.4230142E+001, 1.6058942E+001, 8.9887322E-001
 6.0951421E+001, 5.4946495E+001, 1.5670637E+001, 9.4602211E-001
 6.1223201E+001, 5.5783854E+001, 1.5224649E+001, 1.0005551E+000
 6.1562926E+001, 5.7086520E+001, 1.4594036E+001, 1.0656704E+000
 6.1834706E+001, 5.8658576E+001, 1.3924015E+001, 1.1249799E+000
 6.2106486E+001, 6.0156484E+001, 1.3377127E+001, 1.1743823E+000
 6.2430482E+001, 6.2147109E+001, 1.2733272E+001, 1.2371971E+000
 6.2730887E+001, 6.4348890E+001, 1.2066906E+001, 1.2733193E+000
 6.3031292E+001, 6.5855429E+001, 1.1639083E+001, 1.2555873E+000
 6.3349721E+001, 6.6616485E+001, 1.1429252E+001, 1.2220323E+000
 6.3614077E+001, 6.6926600E+001, 1.1340010E+001, 1.1989836E+000
 6.3944522E+001, 6.7070681E+001, 1.1283421E+001, 1.1808148E+000
 6.4208878E+001, 6.7148593E+001, 1.1238609E+001, 1.1633900E+000
 6.4539323E+001, 6.7171557E+001, 1.1223273E+001, 1.1473219E+000
 6.4803679E+001, 6.7200895E+001, 1.1218974E+001, 1.1330819E+000
 6.5134124E+001, 6.7438830E+001, 1.1180133E+001, 1.1140951E+000
 6.5457720E+001, 6.7800263E+001, 1.1098564E+001, 1.0867911E+000
 6.5753919E+001, 6.8069795E+001, 1.1021682E+001, 1.0667712E+000
 6.6019493E+001, 6.8160290E+001, 1.0983355E+001, 1.0547380E+000
 6.6312309E+001, 6.8026136E+001, 1.1006070E+001, 1.0483602E+000
 6.6638613E+001, 6.7579044E+001, 1.1120997E+001, 1.0419839E+000
 6.6964918E+001, 6.6686096E+001, 1.1360849E+001, 1.0288305E+000
 6.7239013E+001, 6.5473973E+001, 1.1686724E+001, 1.0161036E+000
 6.7526161E+001, 6.4040283E+001, 1.2114535E+001, 1.0106352E+000
 6.7851792E+001, 6.2130568E+001, 1.2731998E+001, 9.9836800E-001
 6.8105637E+001, 6.0601213E+001, 1.3264876E+001, 9.7822890E-001
 6.8422943E+001, 6.0009479E+001, 1.3398876E+001, 9.4851683E-001
 6.8705961E+001, 6.0280468E+001, 1.3221961E+001, 9.1713348E-001
 6.9056905E+001, 6.1194811E+001, 1.2821082E+001, 8.9316736E-001
 6.9305962E+001, 6.2247951E+001, 1.2398936E+001, 8.8668290E-001
 6.9617282E+001, 6.3103279E+001, 1.2103633E+001, 8.8705128E-001
 6.9937022E+001, 6.3391309E+001, 1.1983550E+001, 8.9324080E-001
 7.0228175E+001, 6.2906854E+001, 1.2090017E+001, 9.0537713E-001
 7.0519328E+001, 6.2151542E+001, 1.2297211E+001, 9.3705213E-001
 7.0827949E+001, 6.1461641E+001, 1.2511074E+001, 1.0070788E+000
 7.1148217E+001, 6.1275394E+001, 1.2607915E+001, 1.1177133E+000
 7.1404432E+001, 6.2011070E+001, 1.2428994E+001, 1.2168379E+000
 7.1724700E+001, 6.3433823E+001, 1.2001758E+001, 1.2657012E+000
 7.2044968E+001, 6.5059950E+001, 1.1539228E+001, 1.2527066E+000
 7.2316006E+001, 6.6162776E+001, 1.1273202E+001, 1.2078265E+000
 7.2646672E+001, 6.6761227E+001, 1.1190110E+001, 1.2043668E+000
 7.2944814E+001, 6.7066113E+001, 1.1153410E+001, 1.2717971E+000
 7.3242956E+001, 6.7573306E+001, 1.1038103E+001, 1.2961351E+000
 7.3541098E+001, 6.8418014E+001, 1.0842673E+001, 1.2672674E+000
 7.3839240E+001, 6.9680322E+001, 1.0549839E+001, 1.2209740E+000
 7.4137382E+001, 7.1094556E+001, 1.0229578E+001, 1.1873803E+000
 7.4465338E+001, 7.2013838E+001, 1.0004154E+001, 1.1687603E+000
 7.4727703E+001, 7.1908006E+001, 9.9851996E+000, 1.1508515E+000
 7.5031671E+001, 7.0957946E+001, 1.0169762E+001, 1.1165431E+000
 7.5319647E+001, 6.9955243E+001, 1.0383108E+001, 1.0632619E+000
 7.5607623E+001, 6.9507295E+001, 1.0485464E+001, 9.9871831E-001
 7.5912877E+001, 6.9586103E+001, 1.0471166E+001, 9.3726442E-001
 7.6229651E+001, 6.9943098E+001, 1.0381210E+001, 8.9241313E-001
 7.6546424E+001, 7.0371836E+001, 1.0257905E+001, 8.6262185E-001
 7.6863198E+001, 7.0700608E+001, 1.0193273E+001, 8.4477533E-001
 7.7116617E+001, 7.0736144E+001, 1.0197402E+001, 8.3664022E-001
 7.7452396E+001, 7.0685920E+001, 1.0192541E+001, 8.2975423E-001
 7.7731157E+001, 7.0747987E+001, 1.0135467E+001, 8.2378107E-001
 7.8009918E+001, 7.1030804E+001, 1.0042261E+001, 8.3379165E-001
 7.8335475E+001, 7.1562899E+001, 9.9020756E+000, 8.6518283E-001
 7.8645770E+001, 7.2306540E+001, 9.7195702E+000, 9.2287099E-001
 7.8956065E+001, 7.3224388E+001, 9.5144598E+000, 1.0018728E+000
 7.9204301E+001, 7.4151988E+001, 9.3274419E+000, 1.0703287E+000
 7.9514596E+001, 7.5075391E+001, 9.1626401E+000, 1.1101517E+000
 7.9824891E+001, 7.6084531E+001, 9.0007278E+000, 1.1201244E+000
 8.0135186E+001, 7.7141511E+001, 8.8335790E+000, 1.1036868E+000
 8.0445481E+001, 7.8151280E+001, 8.6577780E+000, 1.0651437E+000
 8.0741687E+001, 7.8889128E+001, 8.5251888E+000, 1.0193470E+000
 8.1027762E+001, 7.9053833E+001, 8.4745978E+000, 9.8455861E-001
 8.1330341E+001, 7.8662486E+001, 8.4957487E+000, 9.5988882E-001
 8.1632920E+001, 7.7998077E+001, 8.5577515E+000, 9.4910273E-001
 8.1935499E+001, 7.7375839E+001, 8.6185342E+000, 9.5289712E-001
 8.2238078E+001, 7.6916669E+001, 8.6511220E+000, 9.5926490E-001
 8.2540657E+001, 7.6636319E+001, 8.6606893E+000, 9.5963831E-001
 8.2843236E+001, 7.6368260E+001, 8.6717111E+000, 9.4924098E-001
 8.3145815E+001, 7.6132640E+001, 8.6830568E+000, 9.3210522E-001
 8.3448394E+001, 7.5930679E+001, 8.6894560E+000, 9.2624836E-001
 8.3750973E+001, 7.5734566E+001, 8.7129125E+000, 9.3118881E-001
 8.4053552E+001, 7.5524218E+001, 8.7423501E+000, 9.3808383E-001
 8.4356131E+001, 7.5451325E+001, 8.7221611E+000, 9.4322361E-001
 8.4658710E+001, 7.5643711E+001, 8.6614282E+000, 9.3812406E-001
 8.4906825E+001, 7.5996330E+001, 8.6039971E+000, 9.1433404E-001
 8.5239661E+001, 7.6417196E+001, 8.5318638E+000, 8.8677451E-001
 8.5505931E+001, 7.6881321E+001, 8.4247276E+000, 8.7635103E-001
 8.5838768E+001, 7.7817451E+001, 8.2843774E+000, 8.9925576E-001
 8.6105037E+001, 7.9093381E+001, 8.1035202E+000, 9.3666167E-001
